component_type,label,component
grapheme_root,0,ং
grapheme_root,1,ঃ
grapheme_root,2,অ
grapheme_root,3,আ
grapheme_root,4,ই
grapheme_root,5,ঈ
grapheme_root,6,উ
grapheme_root,7,ঊ
grapheme_root,8,ঋ
grapheme_root,9,এ
grapheme_root,10,ঐ
grapheme_root,11,ও
grapheme_root,12,ঔ
grapheme_root,13,ক
grapheme_root,14,ক্ক
grapheme_root,15,ক্ট
grapheme_root,16,ক্ত
grapheme_root,17,ক্ল
grapheme_root,18,ক্ষ
grapheme_root,19,ক্ষ্ণ
grapheme_root,20,ক্ষ্ম
grapheme_root,21,ক্স
grapheme_root,22,খ
grapheme_root,23,গ
grapheme_root,24,গ্ধ
grapheme_root,25,গ্ন
grapheme_root,26,গ্ব
grapheme_root,27,গ্ম
grapheme_root,28,গ্ল
grapheme_root,29,ঘ
grapheme_root,30,ঘ্ন
grapheme_root,31,ঙ
grapheme_root,32,ঙ্ক
grapheme_root,33,ঙ্ক্ত
grapheme_root,34,ঙ্ক্ষ
grapheme_root,35,ঙ্খ
grapheme_root,36,ঙ্গ
grapheme_root,37,ঙ্ঘ
grapheme_root,38,চ
grapheme_root,39,চ্চ
grapheme_root,40,চ্ছ
grapheme_root,41,চ্ছ্ব
grapheme_root,42,ছ
grapheme_root,43,জ
grapheme_root,44,জ্জ
grapheme_root,45,জ্জ্ব
grapheme_root,46,জ্ঞ
grapheme_root,47,জ্ব
grapheme_root,48,ঝ
grapheme_root,49,ঞ
grapheme_root,50,ঞ্চ
grapheme_root,51,ঞ্ছ
grapheme_root,52,ঞ্জ
grapheme_root,53,ট
grapheme_root,54,ট্ট
grapheme_root,55,ঠ
grapheme_root,56,ড
grapheme_root,57,ড্ড
grapheme_root,58,ঢ
grapheme_root,59,ণ
grapheme_root,60,ণ্ট
grapheme_root,61,ণ্ঠ
grapheme_root,62,ণ্ড
grapheme_root,63,ণ্ণ
grapheme_root,64,ত
grapheme_root,65,ত্ত
grapheme_root,66,ত্ত্ব
grapheme_root,67,ত্থ
grapheme_root,68,ত্ন
grapheme_root,69,ত্ব
grapheme_root,70,ত্ম
grapheme_root,71,থ
grapheme_root,72,দ
grapheme_root,73,দ্ঘ
grapheme_root,74,দ্দ
grapheme_root,75,দ্ধ
grapheme_root,76,দ্ব
grapheme_root,77,দ্ভ
grapheme_root,78,দ্ম
grapheme_root,79,ধ
grapheme_root,80,ধ্ব
grapheme_root,81,ন
grapheme_root,82,ন্জ
grapheme_root,83,ন্ট
grapheme_root,84,ন্ঠ
grapheme_root,85,ন্ড
grapheme_root,86,ন্ত
grapheme_root,87,ন্ত্ব
grapheme_root,88,ন্থ
grapheme_root,89,ন্দ
grapheme_root,90,ন্দ্ব
grapheme_root,91,ন্ধ
grapheme_root,92,ন্ন
grapheme_root,93,ন্ব
grapheme_root,94,ন্ম
grapheme_root,95,ন্স
grapheme_root,96,প
grapheme_root,97,প্ট
grapheme_root,98,প্ত
grapheme_root,99,প্ন
grapheme_root,100,প্প
grapheme_root,101,প্ল
grapheme_root,102,প্স
grapheme_root,103,ফ
grapheme_root,104,ফ্ট
grapheme_root,105,ফ্ফ
grapheme_root,106,ফ্ল
grapheme_root,107,ব
grapheme_root,108,ব্জ
grapheme_root,109,ব্দ
grapheme_root,110,ব্ধ
grapheme_root,111,ব্ব
grapheme_root,112,ব্ল
grapheme_root,113,ভ
grapheme_root,114,ভ্ল
grapheme_root,115,ম
grapheme_root,116,ম্ন
grapheme_root,117,ম্প
grapheme_root,118,ম্ব
grapheme_root,119,ম্ভ
grapheme_root,120,ম্ম
grapheme_root,121,ম্ল
grapheme_root,122,য
grapheme_root,123,র
grapheme_root,124,ল
grapheme_root,125,ল্ক
grapheme_root,126,ল্গ
grapheme_root,127,ল্ট
grapheme_root,128,ল্ড
grapheme_root,129,ল্প
grapheme_root,130,ল্ব
grapheme_root,131,ল্ম
grapheme_root,132,ল্ল
grapheme_root,133,শ
grapheme_root,134,শ্চ
grapheme_root,135,শ্ন
grapheme_root,136,শ্ব
grapheme_root,137,শ্ম
grapheme_root,138,শ্ল
grapheme_root,139,ষ
grapheme_root,140,ষ্ক
grapheme_root,141,ষ্ট
grapheme_root,142,ষ্ঠ
grapheme_root,143,ষ্ণ
grapheme_root,144,ষ্প
grapheme_root,145,ষ্ফ
grapheme_root,146,ষ্ম
grapheme_root,147,স
grapheme_root,148,স্ক
grapheme_root,149,স্ট
grapheme_root,150,স্ত
grapheme_root,151,স্থ
grapheme_root,152,স্ন
grapheme_root,153,স্প
grapheme_root,154,স্ফ
grapheme_root,155,স্ব
grapheme_root,156,স্ম
grapheme_root,157,স্ল
grapheme_root,158,স্স
grapheme_root,159,হ
grapheme_root,160,হ্ন
grapheme_root,161,হ্ব
grapheme_root,162,হ্ম
grapheme_root,163,হ্ল
grapheme_root,164,ৎ
grapheme_root,165,ড়
grapheme_root,166,ঢ়
grapheme_root,167,য়
vowel_diacritic,0,0
vowel_diacritic,1,া
vowel_diacritic,2,ি
vowel_diacritic,3,ী
vowel_diacritic,4,ু
vowel_diacritic,5,ূ
vowel_diacritic,6,ৃ
vowel_diacritic,7,ে
vowel_diacritic,8,ৈ
vowel_diacritic,9,ো
vowel_diacritic,10,ৌ
consonant_diacritic,0,0
consonant_diacritic,1,ঁ
consonant_diacritic,2,র্
consonant_diacritic,3,র্য
consonant_diacritic,4,্য
consonant_diacritic,5,্র
consonant_diacritic,6,্র্য
